1,14.20,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450  
1,14.39,1.87,2.45,14.6,96,2.50,2.52,0.30,1.98,5.25,1.02,3.58,1290  
1,14.06,2.15,2.61,17.6,121,2.60,2.51,0.31,1.25,5.05,1.06,3.58,1295  
1,14.83,1.64,2.17,14.0,97,2.80,2.98,0.29,1.98,5.20,1.08,2.85,1045  
1,13.86,1.35,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045  
1,13.72,2.20,2.48,15.5,115,3.12,3.19,0.33,2.30,6.52,1.02,3.26,1100  
1,13.90,2.30,2.38,14.8,111,3.10,2.80,0.25,1.90,5.76,1.04,3.45,1060  
1,14.10,2.00,2.59,15.6,104,3.55,3.33,0.28,2.05,6.10,1.06,3.22,1180  
1,13.95,2.25,2.60,16.4,117,2.99,2.95,0.26,2.00,5.45,0.97,3.17,1125  
1,14.30,1.90,2.65,14.9,113,3.20,3.25,0.27,1.95,6.80,1.03,3.41,1200  
1,14.05,1.88,2.50,15.2,110,2.95,2.99,0.29,2.10,6.00,1.00,3.30,1150  
1,14.25,2.00,2.75,15.8,120,3.50,3.45,0.31,2.25,6.60,1.02,3.60,1230  
1,13.85,2.18,2.35,14.6,108,3.10,3.05,0.24,1.85,5.30,1.04,3.15,1110  
1,14.12,1.92,2.47,15.4,116,2.80,2.85,0.26,1.98,6.10,1.01,3.33,1175  
1,13.96,1.78,2.60,14.3,109,3.00,3.02,0.27,1.90,6.20,1.06,3.20,1130  
1,14.40,2.10,2.68,15.9,122,3.60,3.55,0.32,2.30,6.85,1.00,3.70,1250  
1,14.00,2.05,2.48,15.0,107,2.85,2.89,0.25,1.88,5.90,1.03,3.40,1105  
1,13.88,2.22,2.42,14.2,102,2.78,2.81,0.23,1.70,5.10,1.05,3.10,1085  
1,14.15,2.30,2.55,15.6,119,3.35,3.40,0.29,2.20,6.45,1.04,3.50,1210  
1,13.78,1.85,2.38,14.1,106,2.65,2.67,0.21,1.60,4.90,1.00,2.95,1070  
1,14.22,2.00,2.62,15.7,118,3.40,3.42,0.28,2.18,6.70,1.06,3.60,1225  
1,14.10,1.75,2.50,14.5,105,2.90,2.93,0.26,1.95,5.75,1.02,3.35,1140  
1,13.92,2.12,2.46,14.9,103,2.70,2.73,0.24,1.85,5.40,1.05,3.25,1108  
1,14.32,2.28,2.61,16.2,121,3.45,3.48,0.30,2.35,6.90,1.01,3.65,1270  
1,13.74,1.80,2.36,13.8,100,2.60,2.63,0.22,1.55,4.85,0.98,2.90,1055  
1,14.17,2.06,2.53,15.3,115,3.10,3.12,0.27,2.05,6.20,1.04,3.45,1185  
1,14.08,1.85,2.44,14.7,108,2.87,2.90,0.25,1.92,5.60,1.03,3.30,1115  
1,13.99,2.20,2.39,14.4,101,2.75,2.78,0.23,1.72,5.15,1.00,3.00,1090  
1,14.35,2.12,2.63,16.0,123,3.55,3.58,0.31,2.28,6.80,1.06,3.68,1260  
1,13.70,1.88,2.34,13.9,99,2.55,2.57,0.20,1.50,4.70,0.97,2.85,1040  
1,14.28,2.18,2.58,15.5,114,3.30,3.33,0.27,2.10,6.25,1.02,3.48,1208  
1,14.00,1.90,2.49,14.8,106,2.95,2.98,0.26,1.90,5.85,1.01,3.32,1120  
1,13.83,2.15,2.41,14.0,104,2.68,2.70,0.22,1.68,5.00,1.04,3.12,1098  
1,14.20,2.25,2.60,15.8,117,3.42,3.45,0.29,2.22,6.50,1.05,3.55,1220  
1,13.76,1.83,2.37,13.7,101,2.57,2.60,0.21,1.58,4.95,0.99,2.92,1062  
1,14.14,2.09,2.52,15.1,112,3.05,3.08,0.26,2.00,6.00,1.00,3.38,1155  
1,14.03,1.82,2.45,14.4,107,2.88,2.91,0.24,1.88,5.65,1.02,3.28,1112  
1,13.89,2.16,2.40,14.1,102,2.72,2.75,0.23,1.75,5.20,1.03,3.08,1102  
1,14.27,2.22,2.64,15.9,120,3.50,3.53,0.30,2.26,6.60,1.06,3.62,1245  
1,13.69,1.78,2.32,13.6,98,2.53,2.56,0.20,1.48,4.80,0.96,2.82,1035  
1,14.31,2.14,2.56,15.6,116,3.28,3.31,0.28,2.15,6.30,1.04,3.50,1215  
1,14.06,1.95,2.51,14.6,110,2.91,2.94,0.26,1.95,5.70,1.00,3.35,1135  
1,13.91,2.13,2.43,14.2,105,2.74,2.76,0.23,1.78,5.10,1.02,3.18,1107  
1,14.24,2.26,2.66,15.7,119,3.38,3.41,0.29,2.24,6.55,1.05,3.58,1235  
1,13.75,1.79,2.35,13.5,100,2.56,2.59,0.21,1.55,4.88,0.98,2.89,1050  
1,14.18,2.04,2.54,15.2,113,3.15,3.18,0.27,2.02,6.10,1.03,3.43,1170  
1,14.02,1.86,2.46,14.3,109,2.89,2.92,0.25,1.90,5.60,1.01,3.30,1117  
